Product;Type;Release Date;Process Size (nm);TDP (W);Die Size (mm^2);Transistors (million);Freq (MHz);Foundry;Vendor;FP16 GFLOPS;FP32 GFLOPS;FP64 GFLOPS
AMD Athlon 64 3500+;CPU;2007-02-20;650;450;770;1220;22000;Unknown;AMD;;;
AMD Athlon 200GE;CPU;2018-09-06;140;350;1920;48000;32000;Unknown;AMD;;;
Intel Core i5-1145G7;CPU;2020-09-02;100;280;;;26000;Intel;Intel;;;
Intel Xeon E5-2603 v2;CPU;2013-09-01;220;800;1600;14000;18000;Intel;Intel;;;
AMD Phenom II X4 980 BE;CPU;2011-05-03;450;1250;2580;7580;37000;Unknown;AMD;;;
Intel Xeon E5-2470 v2;CPU;2013-09-01;220;950;1600;14000;24000;Intel;Intel;;;
AMD Phenom X4 9750 (125W);CPU;2008-03-27;650;1250;2850;4500;24000;Unknown;AMD;;;
Intel Pentium D 930;CPU;2006-01-16;650;1300;1400;3760;30000;Intel;Intel;;;
Intel Core i3-1125G4;CPU;2020-09-02;100;280;;;20000;Intel;Intel;;;
AMD Athlon 64 X2 4200+;CPU;2006-05-23;900;890;1560;1540;22000;Unknown;AMD;;;
AMD Sempron 2800+;CPU;2004-08-01;1300;620;800;370;19920;Unknown;AMD;;;
Intel Core i7-3632QM;CPU;2012-10-19;220;350;1600;14800;22000;Intel;Intel;;;
AMD C-70;CPU;2012-09-01;400;90;750;;10000;Unknown;AMD;;;
Intel Core i5-8269U;CPU;2018-04-05;140;280;1230;;26000;Intel;Intel;;;
AMD Phenom X4 9600 BE;CPU;2007-12-19;650;950;2850;4500;23000;Unknown;AMD;;;
Intel Pentium 3560Y;CPU;2013-09-01;220;120;1180;14000;12000;Intel;Intel;;;
AMD Turion X2 Ultra ZM-84;CPU;2008-09-01;650;350;;;23000;Unknown;AMD;;;
Intel Pentium 4 506;CPU;2005-06-01;900;840;1090;1250;26600;Intel;Intel;;;
Intel Xeon E5-2430 v2;CPU;2013-09-01;220;800;1600;14000;25000;Intel;Intel;;;
AMD Athlon 64 X2 4800+;CPU;2006-05-23;900;1100;1990;2330;24000;Unknown;AMD;;;
Intel Core i5-3427U;CPU;2012-06-01;220;170;1180;;18000;Intel;Intel;;;
AMD Opteron 148 HE;CPU;2004-12-01;900;550;;1060;22000;Unknown;AMD;;;
AMD Athlon 1100;CPU;2000-08-14;1800;600;1200;370;11000;Unknown;AMD;;;
Intel Core i7-975;CPU;2009-06-02;450;1300;2630;7310;33330;Intel;Intel;;;
AMD Athlon 64 3500+;CPU;2001-01-01;900;670;1150;1050;22000;Unknown;AMD;;;
Intel Pentium 4 HT 672;CPU;2005-11-14;900;840;1090;1690;38000;Intel;Intel;;;
Intel Pentium D 830;CPU;2005-05-26;900;1300;2060;1690;30000;Intel;Intel;;;
AMD EPYC 7371;CPU;2018-11-16;140;1700;2130;48000;31000;GF;AMD;;;
Intel Pentium 4 HT 550;CPU;2004-06-21;900;1150;1090;1250;34000;Intel;Intel;;;
Intel Pentium III 1266S;CPU;2001-07-01;1300;300;800;440;12660;Intel;Intel;;;
AMD Sempron 140;CPU;2009-07-22;450;450;1170;2340;27000;Unknown;AMD;;;
AMD EPYC 7501;CPU;2017-06-29;140;1700;2130;48000;20000;GF;AMD;;;
Intel Atom E680;CPU;2010-09-14;450;40;260;470;16000;Intel;Intel;;;
Intel Xeon E5-2690 v2;CPU;2013-09-01;220;1300;1600;14000;30000;Intel;Intel;;;
Intel Xeon Platinum 8380;CPU;2021-04-06;100;2700;;;23000;Intel;Intel;;;
Intel Xeon Phi 7120A;CPU;2014-04-06;220;3000;3500;50000;12380;Intel;Intel;;;
Intel Core i3-8020;CPU;2018-09-01;140;650;;;37000;Intel;Intel;;;
Intel Atom S1220;CPU;2012-12-11;320;80;;;16000;Intel;Intel;;;
AMD Phenom X4 9600;CPU;2007-11-19;650;950;2850;4500;23000;Unknown;AMD;;;
Intel Core i3-2330M;CPU;2011-06-01;320;350;1490;6240;22000;Intel;Intel;;;
AMD Opteron X2 180;CPU;2005-09-26;900;1100;;2330;24000;Unknown;AMD;;;
AMD E2-3200;CPU;2011-09-07;320;650;2280;11780;24000;Unknown;AMD;;;
AMD Turion 64 MT-34;CPU;2005-03-10;900;250;1250;1140;18000;Unknown;AMD;;;
